Day,Time,Event,Title,Presenter,Location
Thursday,,Project NExT Gathering,,,Two Dogs Taphouse
Friday,7:45 AM,Packet Pickup,,,Jonasson Hall in Melrose
Friday,8:00 AM - 2:30 PM,PNW Section NExT Meeting,,,Jonasson Hall in Melrose
Friday,2:00 - 3:00 PM,Registration,,,Keck Atrium
Friday,3:00 - 5:30 PM,Minicourse,Creating Accessible and Interactive Materials,Dr. Oscar Levin,Graf 111/115
Friday,3:00 - 5:30 PM,Minicourse,Revising Course Syllabi for Proficiency: Standards‑ and Specifications‑Based Approaches,Dr. Lisa Marano,Graf 117
Friday,6:00 PM,Project NExT Dinner,,,Dave's Station
Friday,6:00 - 7:00 PM,Registration,,,Keck Atrium
Friday,6:00 - 7:15 PM,Games and Gathering,,Hosted by the Linfield EPiC! Math Club,Graf 111/115
Friday,7:30 PM,Invited Address,"Every Game I'm Shufflin', Shufflin'",Dr. Steve Butler,Nicholson Library (open to the public)
Friday,8:30 PM,Dessert Reception,,,Nicholson Library (open to the public)
Saturday,7:30- 8:30 AM,Executive Meetings,,,"Presidents’ Dining Room, Dillin Hall"
Saturday,8:00 AM,Registration,,,Keck Atrium
Saturday,8:30-11:00 AM,Coffee and Pastries,,,Keck Lobby
Saturday,9:00 AM,Welcome Address,,"Dr. Mark Blegen, President of Linfield University",Graf 120
Saturday,9:00-10:00 AM,Invited Address,Mathematics and Community Engagement,Dr. Lisa Marano,Graf 120
Saturday,10:15 AM-12:10 PM,Contributed Talks,Student Research,,Graf 117
Saturday,10:15 AM-12:10 PM,Contributed Talks,Student Work from Class,,Graf 118
Saturday,10:15 AM-12:10 PM,Contributed Talks,Innovation in Teaching,,Graf 126
Saturday,10:15 AM-12:10 PM,Panels,,,Graf 124
Saturday,12:00-1:45 PM,Lunch,,,Keck Atrium
Saturday,12:15-1:45 PM,Movie,Counted Out,Screening of film is supported by NSF Grant DMS-2418778,Graf 120
Saturday,12:15-1:45 PM,Business Meeting,,,Graf 111/115
Saturday,2:00 PM,Invited Address,Multiplex juggling sequences and Kostant’s partition function,Dr. Pamela E. Harris,Graf 120
Saturday,3:00 - 5:30 PM,Coffee and cookies,,Sponsored by Transform Learning (see below),Keck Lobby
Saturday,3:15-5:15 PM,Contributed Talks,Recreational Math,,Graf 124
Saturday,3:15-5:15 PM,Contributed Talks,Student Research,,Graf 117
Saturday,3:15-5:15 PM,Contributed Talks,Student Work from Class,,Graf 118
Saturday,3:15-5:15 PM,Contributed Talks,Differential Equations,,Graf 126
Saturday,3:15-5:15 PM,Contributed Talks,General Session,,Graf 115
Saturday,5:30 PM,Social Reception,,,Keck Atrium
Saturday,6:30 PM,Section Awards Ceremony,,,Graf 120
Saturday,7:00 PM,Invited Address,Juggling Counts,Dr. Steve Butler,Graf 120
